English,standard bangla,garo,marma,chakma
Please make a reservation for two.,দয়া করে দুইটির জন্য রিজার্ভেশন করুন।,কাসা পাই গি•গিনিং না রারিকি দন বো।,,হুজুলি গুরি দি আনোর লাই বিজার্ভ গুরিজ।
I'm going to the park with my friends.,আমি আমার বন্ধুদের সাথে পার্কে যাচ্ছি।,অংনি বাজুরাং•মুং পার্ক ছা রিয়াংগা।,,মুই ম সমাজ্জি উন লোই পার্কত যাঙর।
I'm going to a music concert next month.,আমি পরের মাসে একটি সঙ্গীত কনসার্টে যাচ্ছি।,আম্বুন যাসাও গিশা গিট কনসার্ট ছা রিয়াং নো।,,মুই পর মাজত ইজ্ঞু গানর কনসার্টত যাঙর।
What is your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী?,না•আ বাদাগা বিবল কো সীনবাদা?,,ত প্রিয় ফুল আন হিদিক্কন?
Can you recommend a good place to have a picnic?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি পিকনিক করার জন্য?,পিকনিক দাগ্নানি নাম্মা আ•দাম নি বিমুং কো আগান না মান্নো?,,তুই হি ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি পিকনিকর লাই।
What is your favorite type of book?,তোমার প্রিয় বইর ধরণ কী?,না•আ বাদাগা কি•তাপ কো সীনবাদ দা?,,ত প্রিয় বিদ্যা আন হিদিক্কন?
I'm going to a science fair next month.,আমি পরের মাসে একটি বিজ্ঞান প্রদর্শনীতে যাচ্ছি।,অংগা আম্বুন শট্নিও গিশা সায়েন্স এক্সিবিশন ছা রিয়াং নো।,,মুই পর মাজত ইজ্ঞু বিজ্ঞান প্রদর্শনীত যাঙর।
Could you please pass me the salt?,আপনি কি দয়া করে আমাকে লবণ পাস করতে পারবেন?,কা•সা পাই কাসিম হন্না মান্নো মা?,,তুই হি মরে হুজুলি গুরি নুন আন দি পারিবি?
I need to buy a new pair of shoes.,আমার একটি নতুন জুতা কিনতে হবে।,গি•তাল জা•কপ ব্রিনা নাং নো।,,মুই ইজ্ঞু নুয়ো জুতা হিনিবার চাঙ।
Can you recommend a good place to go for a walk?,আপনি কি হেঁটে যাওয়ার জন্য একটি ভালো স্থান সুপারিশ করতে পারবেন?,রামা রি রিয়াংনা নাম্মা আ•দাম নি বিমুং কো আগান না মান্নো মা?,,তুই হি আদি যেবার ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি?
What is your favorite type of tea?,তোমার প্রিয় চা ধরণ কী?,না•আ বাদাগা চা কো সীনবাদ দা?,,ত প্রিয় চা আন হিদিক্কন ?
Please bring your ID if you're not mistaken.,দয়া করে আপনি যদি ভুল না করেন আপনার আইডি নিয়ে আসুন।,কাসা পাই নাঙ•নি আইডি কো রাই হিবানা মান্নো মা?,,তু হুজুলি গুরি তুই ভুল গুরি নোথাস ই অয় সালে ত আইডি আন আনিজ।
I need to buy a new shirt for my party.,আমার পার্টিতে একটি নতুন শার্ট কিনতে হবে।,পার্টি না গি•তাল শার্ট ব্রি•না নাং নো।,,মর পার্টিত ইজ্ঞু নুয়ো শার্ট লাগি।
